frame,day,entity_type,id,x_position,y_position,fuel_level,state,refuel_point_x,refuel_point_y
11,1,vehicle,2,32.0,13.0,90.5,patrolling,,
11,1,vehicle,3,19.0,34.0,90.5,patrolling,,
11,1,vehicle,4,29.0,29.0,92.0,patrolling,,
11,1,refuel_vehicle,1,0,20,,idle,,
11,1,refuel_vehicle,2,20,0,,idle,,
11,1,refuel_vehicle,3,40,40,,idle,,
11,1,hub,1,0,20,,,,
11,1,hub,2,20,0,,,,
11,1,hub,3,40,40,,,,
12,1,vehicle,1,14.0,19.0,91.5,patrolling,,
12,1,vehicle,2,30.0,13.0,89.5,patrolling,,
12,1,vehicle,3,19.0,34.0,90.5,patrolling,,
12,1,vehicle,4,29.0,28.0,91.5,patrolling,,
12,1,refuel_vehicle,1,0,20,,idle,,
12,1,refuel_vehicle,2,20,0,,idle,,
12,1,refuel_vehicle,3,40,40,,idle,,
12,1,hub,1,0,20,,,,
12,1,hub,2,20,0,,,,
12,1,hub,3,40,40,,,,
13,1,vehicle,1,13.0,19.0,91.0,patrolling,,
13,1,vehicle,2,30.0,12.0,89.0,patrolling,,
13,1,vehicle,3,19.0,32.0,89.5,patrolling,,
13,1,vehicle,4,27.0,28.0,90.5,patrolling,,
13,1,refuel_vehicle,1,0,20,,idle,,
13,1,refuel_vehicle,2,20,0,,idle,,
13,1,refuel_vehicle,3,40,40,,idle,,
13,1,hub,1,0,20,,,,
13,1,hub,2,20,0,,,,
13,1,hub,3,40,40,,,,
14,1,vehicle,1,13.0,19.0,91.0,patrolling,,
14,1,vehicle,2,30.0,10.0,88.0,patrolling,,
14,1,vehicle,3,17.0,32.0,88.5,patrolling,,
14,1,vehicle,4,27.0,27.0,90.0,patrolling,,
14,1,refuel_vehicle,1,0,20,,idle,,
14,1,refuel_vehicle,2,20,0,,idle,,
14,1,refuel_vehicle,3,40,40,,idle,,
14,1,hub,1,0,20,,,,
14,1,hub,2,20,0,,,,
14,1,hub,3,40,40,,,,
